Organismo,Tipo Regla,Puntos
CORP NACIONAL FORESTAL,prioritario,5.0
POLICIA DE INVESTIGACIONES DE CHILE,no_deseado,
GOBERNACION MARITIMA DE CASTRO,no_deseado,
SERVICIO AGRICOLA Y GANADERO,prioritario,5.0
DEPARTAMENTO PROVINCIAL EDUCACION CAUTIN SUR,no_deseado,
I MUNICIPALIDAD VALDIVIA,prioritario,5.0
I MUNICIPALIDAD DE OSORNO,prioritario,5.0
GOBERNACION MARITIMA DE PUERTO MONTT,no_deseado,
I MUNICIPALIDAD DE RIO NEGRO,prioritario,5.0
I MUNICIPALIDAD DE CASTRO,prioritario,5.0
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,no_deseado,
SERVICIO LOCAL DE EDUCACION PUBLICA DE LLANQUIHUE,prioritario,5.0
I MUNICIPALIDAD DE COYHAIQUE,prioritario,5.0
I MUNICIPALIDAD DE HUALAIHUE,prioritario,5.0
GOBERNACION MARITIMA DE PUNTA ARENAS,no_deseado,
I MUNICIPALIDAD DE RIO BUENO,prioritario,5.0
I MUNICIPALIDAD DE PUNTA ARENAS,prioritario,5.0
I MUNICIPALIDAD DE ANCUD,prioritario,5.0
GOBERNACION MARITIMA DE SAN ANTONIO,no_deseado,
I MUNICIPALIDAD DE FREIRE,prioritario,5.0
I MUNICIPALIDAD DE PUERTO MONTT,prioritario,5.0
Departamento de Educación,no_deseado,
1° Juzgado de Letras del Trabajo de Santiago,no_deseado,
I MUNICIPALIDAD DE PURRANQUE,prioritario,5.0
14° Juzgado de Garantia de Santiago,prioritario,5.0
I MUNICIPALIDAD DE PITRUFQUEN,prioritario,5.0
GOBERNACION MARITIMA DE COQUIMBO,no_deseado,
DEPARTAMENTO PROVINCIAL DE EDUCACION CAUTIN NORTE,no_deseado,
GOBERNACION MARITIMA DE AYSEN,no_deseado,
GOBERNACION MARITIMA DE TALCAHUANO,no_deseado,
Academia Politécnica Naval,no_deseado,
Administracion Central,no_deseado,
1 Juzgado de Familia de San Miguel,prioritario,5.0
DEPARTAMENTO PROVINCIAL DE EDUCACION EL LOA,no_deseado,
Ilustre Municipalidad de Nacimiento - Departamento de educación,no_deseado,
I MUNICIPALIDAD DE QUILLECO DEPARTAMENTO DE EDUCACION,no_deseado,
GOBERNACION MARITIMA DE ANTOFAGASTA,no_deseado,
